*DÄMMWERK Zonen- und Hüllflächenexport, Datenfelder sind durch Semikola getrennt, Stern am Zeilenanfang = Kommentar;;;;;;;;;;
"* Abschnitts-Marker; ZONEN, HUELLEN, BODENPLATTENMAße";;;;;;;;;;
"*Orientierungen; -;S;SSW;SW;SWW;W;NWW;NW;NNW;N;NNO;NO;NOO;O;SOO;SO;SSO;";;;;;;;;;;
"*Bauteiltypen; FAW;FF zur Außenluft;FAW Außentür;FD Dach;FD Decke nach unten;zum unbeheizten Raum;Trennwand;FF zur unbeheizten Zone;Innentür gegen unbeheizte Zone;Fd Decke nach oben;Fz Decke nach unten;Kellerwand;Fußboden auf Erdreich;Kellerdecke;";;;;;;;;;;
"* Bodenplattenmaße; Maximal 5 Stück möglich";;;;;;;;;;
;;;;;;;;;;
ZONEN;;;;;;;;;;
*Bezeichnung;Nummer;Ti,Soll;Ti,Soll,WE;ANGF;Ve;Vi;;;;
Innenwand N;3,35;N;90;1;2;70;2;Trennwand;B14;
Innenwand W;13,4;W;90;1;2;71;2;Trennwand;B14;
Innenwand N;5,56;N;90;1;4;72;2;Trennwand;B14;
Innenwand W;22,02;W;90;1;4;73;2;Trennwand;B14;
Innenwand N;5,56;N;90;1;5;74;2;Trennwand;B14;
Innenwand O;22,02;O;90;1;5;75;2;Trennwand;B14;
Innenwand O;14,36;O;90;2;1;76;2;Trennwand;B14;
Innenwand S;3,22;S;90;2;1;77;2;Trennwand;B14;
Innenwand W;15,34;W;90;3;1;78;2;Trennwand;B14;
Innenwand S;3,59;S;90;3;1;79;2;Trennwand;B14;
Innenwand O;22,02;O;90;4;1;80;2;Trennwand;B14;
Innenwand S;5,71;S;90;4;1;81;2;Trennwand;B14;
Innenwand W;23,53;W;90;5;1;82;2;Trennwand;B14;
Innenwand S;5,99;S;90;5;1;83;2;Trennwand;B14;
Innentür O;2,28;O;90;1;3;84;2;Innentür gegen unbeheizte Zone;B30;
Innentür W;2,28;W;90;1;2;85;2;Innentür gegen unbeheizte Zone;B30;
Innentür W;2,28;W;90;1;4;86;2;Innentür gegen unbeheizte Zone;B30;
Innentür O;2,28;O;90;1;5;87;2;Innentür gegen unbeheizte Zone;B30;
Innentür O;2,28;O;90;2;1;88;2;Innentür gegen unbeheizte Zone;B30;
Innentür W;2,28;W;90;3;1;89;2;Innentür gegen unbeheizte Zone;B30;
Innentür O;2,28;O;90;4;1;90;2;Innentür gegen unbeheizte Zone;B30;
Innentür W;2,28;W;90;5;1;91;2;Innentür gegen unbeheizte Zone;B30;
unterer Abschluss;;;;;;;;;;
Fußboden;43,56;-;180;2;1;92;0,3;Fz Decke nach unten;B28;
Fußboden;44,25;-;180;3;1;93;0,3;Fz Decke nach unten;B28;
Außenwand N;30,62;N;90;1;0;94;0,26;Kellerwand;B09;
Außenwand O;37,85;O;90;1;0;95;0,26;Kellerwand;B09;
Außenwand W;39,02;W;90;1;0;96;0,26;Kellerwand;B09;
Außenwand S;30,72;S;90;1;0;97;0,26;Kellerwand;B09;
Außenwand S;0,89;S;90;1;0;98;0,26;Kellerwand;B08;
Außenwand O;1,18;O;90;1;0;99;0,26;Kellerwand;B08;
Bodenplatte;;;;;;;;;;
Fußboden;116,94;-;180;1;0;100;0,31;Fußboden auf Erdreich;B28;1
Fußboden;52,77;-;180;2;0;101;0,31;Fußboden auf Erdreich;B28;1
Fußboden;52,72;-;180;3;0;102;0,31;Fußboden auf Erdreich;B28;1
*;;;;;;;;;;
BODENPLATTENMAße;*Marker für Bodenplattenmaße;;;;;;;;;
*Nr.;A;U;;;;;;;;
1;193;77;;;;;;;;
